u      12L3Euablce	Bj     T			U			 u                              O	
456	31111-01101	P21	5894.339698	4.1865E-27	5894.33940		  0.3													
456	31111-01101	P23	5891.920581	3.1339E-27	5891.92000		  0.6													
456	31111-01101	P24	5890.685357	2.5556E-27	5890.68460		  0.8													
456	31111-01101	P25	5889.433189	6.1185E-27	5889.43200		  1.2													
456	31111-01101	P26	5888.162921	2.3535E-27	5888.16220		  0.7													
456	31111-01101	P27	5886.876632	2.0509E-27	5886.87530		  1.3													
456	31111-01101	P29	5884.251176	1.8157E-27	5884.25010		  1.1													
456	31111-01101	P31	5881.556057	1.4778E-27	5881.55640		 -0.3													
456	31111-01101	P37	5873.066855	8.4740E-28	5873.06600		  0.9													
456	31111-01101	P42	5865.524739	3.6256E-28	5865.52330		  1.4													
456	31111-01101	P43	5863.964713	7.0090E-28	5863.96390		  0.8													
456	31111-01101	P45	5860.795901	3.3108E-28	5860.79460		  1.3													
456	31111-01101	P57	5840.372626	4.3460E-28	5840.36970		  2.9													
456	31111-01101	P58	5838.558904	2.0499E-28	5838.55940		 -0.5													
456	31112-01102	P09	5907.414851	2.6450E-27	5907.41520		 -0.3													
456	31112-01102	P10	5906.424248	3.5676E-27	5906.42490		 -0.7													
456	31112-01102	P11	5905.417047	3.3139E-27	5905.41780		 -0.8													
456	31112-01102	P12	5904.394020	3.0684E-27	5904.39420		 -0.2													
456	31112-01102	P13	5903.351343	9.1073E-27	5903.35380		 -2.5		 blended					
456	31112-01102	P16	5900.132832	3.5034E-27	5900.13290		 -0.1									
456	31112-01102	P17	5899.028443	3.7558E-27	5899.02610		  2.3									
456	31112-01102	P20	5895.607246	4.6415E-27	5895.60590		  1.3									
456	31112-01102	P21	5894.432981	3.0137E-27	5894.43270		  0.3									
456	31112-01102	P22	5893.243334	3.5064E-27	5893.24300		  0.3									
456	31112-01102	P23	5892.038212	3.0000E-27	5892.03670		  1.5									
456	31112-01102	P24	5890.815249	2.5611E-27	5890.81400		  1.2									
456	31112-01102	P25	5889.575543	2.3469E-27	5889.57470		  0.8									
456	31112-01102	P27	5887.048442	2.0697E-27	5887.04690		  1.5									
456	31112-01102	P28	5885.759412	1.8234E-27	5885.75830		  1.1									
456	31112-01102	P29	5884.455339	2.5521E-27	5884.45330		  2.0									
456	31112-01102	P33	5879.073126	2.3033E-27	5879.06970		  3.4									
456	31112-01102	P36	5874.862327	7.9689E-28	5874.86090		  1.4									
456	31112-01102	P37	5873.427336	1.4685E-27	5873.42550		  1.8									
456	31112-01102	P42	5866.009743	5.7259E-28	5866.00650		  3.2									
456	31112-01102	P46	5859.786709	2.7224E-28	5859.78260		  4.1									
456	40011-10001	P04	5859.604184	5.8678E-28	5859.59980		  4.4									
456	40011-10001	P17	5846.521019	3.0573E-28	5846.51950		  1.5									
456	40011-10001	P18	5845.394664	3.1744E-28	5845.39340		  1.3									
456	40011-10001	P21	5841.913605	3.1319E-28	5841.91310		  0.5									
456	40011-10001	P23	5839.508160	3.2155E-28	5839.50780		  0.4									
456	40011-10001	P25	5837.037606	3.2226E-28	5837.03460		  3.0									
456	40011-10001	P26	5835.773899	2.2825E-28	5835.77270		  1.2									
456	40011-10001	P28	5833.198124	2.0397E-28	5833.19810		  0.0									
456	40011-10001	P29	5831.881997	2.7976E-28	5831.88550		 -3.5		 blended					
456	40011-10001	P30	5830.556164	1.2847E-28	5830.55620		 -0.0								
456	40011-10001	P34	5825.071081	1.0175E-28	5825.07100		  0.1								
456	40011-10001	P35	5823.659267	6.5351E-29	5823.65790		  1.4								
456	40011-10001	P36	5822.226440	1.2565E-28	5822.22820		 -1.8								
456	40011-10001	P37	5820.781775	1.1550E-28	5820.78190		 -0.1								
456	40011-10001	R04	5866.955008	6.0103E-28	5866.95280		  2.2						
456	40011-10001	R08	5869.773996	7.4105E-28	5869.77260		  1.4								
456	40011-10001	R10	5871.081694	7.7106E-28	5871.07900		  2.7		 blended					
456	40011-10001	R13	5872.910029	4.3551E-28	5872.90940		  0.6												
456	40011-10001	R15	5874.045390	4.3866E-28	5874.04350		  1.9												
456	40011-10001	R16	5874.584610	4.5030E-28	5874.58480		 -0.2												
456	40011-10001	R17	5875.109507	5.5226E-28	5875.10880		  0.7												
456	40011-10001	R22	5877.471254	1.8222E-27	5877.47140		 -0.1		 blended  
456	40011-10001	R23	5877.887276	4.9068E-28	5877.89240		 -5.1		 blended 
456	40011-10001	R24	5878.294793	1.6140E-27	5878.29630		 -1.5		 blended 
456	40011-10001	R25	5878.683508	3.4672E-28	5878.68320		  0.3				
456	40011-10001	R27	5879.405419	2.8623E-28	5879.40550		 -0.1													
456	40011-10001	R28	5879.740846	2.7773E-28	5879.74110		 -0.3													
456	40011-10001	R29	5880.060163	3.0346E-28	5880.05960		  0.6													

